Year,m,d,Precipitation amount (mm),Snow depth (cm),Air temperature (degC)
2017,1,1,-1.0,-1.0,0.6
2017,1,2,4.4,-1.0,-3.9
2017,1,3,6.6,7.0,-6.5
2017,1,4,-1.0,13.0,-12.8
2017,1,5,-1.0,10.0,-17.8
2017,1,6,0.3,10.0,-17.8
2017,1,7,5.3,10.0,-3.8
2017,1,8,-1.0,12.0,-0.5
2017,1,9,1.1,12.0,0.5
2017,1,10,0.3,9.0,1.7
2017,1,11,-1.0,7.0,-1.6
2017,1,12,8.0,7.0,-2.8
2017,1,13,0.1,13.0,1.1
2017,1,14,0.1,8.0,0.8
2017,1,15,-1.0,8.0,-2.8
2017,1,16,-1.0,8.0,-4.2
2017,1,17,0.2,8.0,-3.5
2017,1,18,0.9,8.0,1.1
2017,1,19,-1.0,5.0,1.6
2017,1,20,0.3,5.0,-0.6
2017,1,21,0.4,5.0,-1.8
2017,1,22,0.2,5.0,1.0
2017,1,23,0.1,6.0,0.1
2017,1,24,-1.0,6.0,-2.2
2017,1,25,0.6,6.0,-3.8
2017,1,26,-1.0,6.0,1.9
2017,1,27,-1.0,4.0,1.6
2017,1,28,1.8,4.0,0.8
2017,1,29,2.6,3.0,0.6
2017,1,30,5.6,5.0,1.0
2017,1,31,-1.0,4.0,0.2
2017,2,1,1.5,4.0,-0.6
2017,2,2,0.2,5.0,-0.8
2017,2,3,-1.0,6.0,-0.2
2017,2,4,2.7,6.0,0.4
2017,2,5,-1.0,7.0,-2.5
2017,2,6,-1.0,7.0,-7.3
2017,2,7,-1.0,8.0,-12.1
2017,2,8,-1.0,8.0,-8.8
2017,2,9,-1.0,8.0,-10.1
2017,2,10,-1.0,8.0,-8.3
2017,2,11,-1.0,8.0,-5.4
2017,2,12,-1.0,8.0,-2.7
2017,2,13,-1.0,8.0,1.5
2017,2,14,-1.0,8.0,4.4
2017,2,15,-1.0,8.0,0.0
2017,2,16,0.9,8.0,0.5
2017,2,17,0.2,8.0,1.5
2017,2,18,1.5,5.0,1.9
2017,2,19,1.1,5.0,2.2
2017,2,20,2.8,3.0,0.4
2017,2,21,-1.0,7.0,-2.5
2017,2,22,12.2,6.0,-4.6
2017,2,23,0.3,15.0,-0.7
2017,2,24,-1.0,13.0,-5.3
2017,2,25,0.4,13.0,-5.6
2017,2,26,2.5,12.0,-2.0
2017,2,27,1.0,14.0,-2.3
2017,2,28,7.7,13.0,2.1
2017,3,1,6.9,9.0,1.5
2017,3,2,0.5,7.0,1.5
2017,3,3,2.1,6.0,0.9
2017,3,4,0.2,6.0,-1.8
2017,3,5,-1.0,6.0,-4.2
2017,3,6,-1.0,7.0,-4.2
2017,3,7,5.7,6.0,-2.9
2017,3,8,0.1,10.0,0.2
2017,3,9,0.9,9.0,1.2
2017,3,10,0.5,8.0,1.4
2017,3,11,-1.0,7.0,2.2
2017,3,12,-1.0,6.0,-0.9
2017,3,13,-1.0,6.0,0.6
2017,3,14,6.0,5.0,0.6
2017,3,15,-1.0,2.0,3.8
2017,3,16,1.8,inf,3.4
2017,3,17,4.3,-1.0,2.0
2017,3,18,-1.0,-1.0,1.6
2017,3,19,-1.0,-1.0,0.6
2017,3,20,1.1,-1.0,0.2
2017,3,21,6.0,0.0,1.6
2017,3,22,0.2,-1.0,2.3
2017,3,23,-1.0,-1.0,2.5
2017,3,24,0.6,-1.0,0.5
2017,3,25,0.8,-1.0,1.9
2017,3,26,0.1,-1.0,4.8
2017,3,27,-1.0,-1.0,6.6
2017,3,28,-1.0,-1.0,2.4
2017,3,29,-1.0,-1.0,0.4
2017,3,30,3.3,-1.0,-0.4
2017,3,31,0.6,2.0,0.2
2017,4,1,3.6,-1.0,1.5
2017,4,2,0.1,-1.0,4.3
2017,4,3,0.2,-1.0,3.0
2017,4,4,-1.0,-1.0,3.8
2017,4,5,0.7,-1.0,3.3
2017,4,6,-1.0,-1.0,4.7
2017,4,7,4.4,-1.0,4.1
2017,4,8,-1.0,-1.0,3.3
2017,4,9,-1.0,-1.0,3.7
2017,4,10,2.0,-1.0,6.0
2017,4,11,0.7,-1.0,4.3
2017,4,12,1.1,-1.0,1.8
2017,4,13,0.3,0.0,1.2
2017,4,14,-1.0,-1.0,-0.5
2017,4,15,-1.0,-1.0,-1.4
2017,4,16,-1.0,-1.0,-1.7
2017,4,17,-1.0,-1.0,0.6
2017,4,18,-1.0,-1.0,0.3
2017,4,19,-1.0,-1.0,1.2
2017,4,20,5.1,-1.0,2.5
2017,4,21,-1.0,-1.0,5.7
2017,4,22,2.1,-1.0,3.1
2017,4,23,1.6,-1.0,2.9
2017,4,24,2.5,-1.0,3.6
2017,4,25,4.9,0.0,2.8
2017,4,26,0.3,-1.0,3.2
2017,4,27,-1.0,-1.0,4.4
