,Year,m,d,Precipitation amount (mm),Snow depth (cm),Air temperature (degC)
0,2017,1,1,-1.0,-1.0,0.6
1,2017,1,2,4.4,-1.0,-3.9
2,2017,1,3,6.6,7.0,-6.5
3,2017,1,4,-1.0,13.0,-12.8
4,2017,1,5,-1.0,10.0,-17.8
5,2017,1,6,0.3,10.0,-17.8
6,2017,1,7,5.3,10.0,-3.8
7,2017,1,8,-1.0,12.0,-0.5
8,2017,1,9,1.1,12.0,0.5
9,2017,1,10,0.3,9.0,1.7
10,2017,1,11,-1.0,7.0,-1.6
11,2017,1,12,8.0,7.0,-2.8
12,2017,1,13,0.1,13.0,1.1
13,2017,1,14,0.1,8.0,0.8
14,2017,1,15,-1.0,8.0,-2.8
15,2017,1,16,-1.0,8.0,-4.2
16,2017,1,17,0.2,8.0,-3.5
17,2017,1,18,0.9,8.0,1.1
18,2017,1,19,-1.0,5.0,1.6
19,2017,1,20,0.3,5.0,-0.6
20,2017,1,21,0.4,5.0,-1.8
21,2017,1,22,0.2,5.0,1.0
22,2017,1,23,0.1,6.0,0.1
23,2017,1,24,-1.0,6.0,-2.2
24,2017,1,25,0.6,6.0,-3.8
25,2017,1,26,-1.0,6.0,1.9
26,2017,1,27,-1.0,4.0,1.6
27,2017,1,28,1.8,4.0,0.8
28,2017,1,29,2.6,3.0,0.6
29,2017,1,30,5.6,5.0,1.0
30,2017,1,31,-1.0,4.0,0.2
31,2017,2,1,1.5,4.0,-0.6
32,2017,2,2,0.2,5.0,-0.8
33,2017,2,3,-1.0,6.0,-0.2
34,2017,2,4,2.7,6.0,0.4
35,2017,2,5,-1.0,7.0,-2.5
36,2017,2,6,-1.0,7.0,-7.3
37,2017,2,7,-1.0,8.0,-12.1
38,2017,2,8,-1.0,8.0,-8.8
39,2017,2,9,-1.0,8.0,-10.1
40,2017,2,10,-1.0,8.0,-8.3
41,2017,2,11,-1.0,8.0,-5.4
42,2017,2,12,-1.0,8.0,-2.7
43,2017,2,13,-1.0,8.0,1.5
44,2017,2,14,-1.0,8.0,4.4
45,2017,2,15,-1.0,8.0,0.0
46,2017,2,16,0.9,8.0,0.5
47,2017,2,17,0.2,8.0,1.5
48,2017,2,18,1.5,5.0,1.9
49,2017,2,19,1.1,5.0,2.2
50,2017,2,20,2.8,3.0,0.4
51,2017,2,21,-1.0,7.0,-2.5
52,2017,2,22,12.2,6.0,-4.6
53,2017,2,23,0.3,15.0,-0.7
54,2017,2,24,-1.0,13.0,-5.3
55,2017,2,25,0.4,13.0,-5.6
56,2017,2,26,2.5,12.0,-2.0
57,2017,2,27,1.0,14.0,-2.3
58,2017,2,28,7.7,13.0,2.1
59,2017,3,1,6.9,9.0,1.5
60,2017,3,2,0.5,7.0,1.5
61,2017,3,3,2.1,6.0,0.9
62,2017,3,4,0.2,6.0,-1.8
63,2017,3,5,-1.0,6.0,-4.2
64,2017,3,6,-1.0,7.0,-4.2
65,2017,3,7,5.7,6.0,-2.9
66,2017,3,8,0.1,10.0,0.2
67,2017,3,9,0.9,9.0,1.2
68,2017,3,10,0.5,8.0,1.4
69,2017,3,11,-1.0,7.0,2.2
70,2017,3,12,-1.0,6.0,-0.9
71,2017,3,13,-1.0,6.0,0.6
72,2017,3,14,6.0,5.0,0.6
73,2017,3,15,-1.0,2.0,3.8
74,2017,3,16,1.8,,3.4
75,2017,3,17,4.3,-1.0,2.0
76,2017,3,18,-1.0,-1.0,1.6
77,2017,3,19,-1.0,-1.0,0.6
78,2017,3,20,1.1,-1.0,0.2
79,2017,3,21,6.0,0.0,1.6
80,2017,3,22,0.2,-1.0,2.3
81,2017,3,23,-1.0,-1.0,2.5
82,2017,3,24,0.6,-1.0,0.5
83,2017,3,25,0.8,-1.0,1.9
84,2017,3,26,0.1,-1.0,4.8
85,2017,3,27,-1.0,-1.0,6.6
86,2017,3,28,-1.0,-1.0,2.4
87,2017,3,29,-1.0,-1.0,0.4
88,2017,3,30,3.3,-1.0,-0.4
89,2017,3,31,0.6,2.0,0.2
90,2017,4,1,3.6,-1.0,1.5
91,2017,4,2,0.1,-1.0,4.3
92,2017,4,3,0.2,-1.0,3.0
93,2017,4,4,-1.0,-1.0,3.8
94,2017,4,5,0.7,-1.0,3.3
95,2017,4,6,-1.0,-1.0,4.7
96,2017,4,7,4.4,-1.0,4.1
97,2017,4,8,-1.0,-1.0,3.3
98,2017,4,9,-1.0,-1.0,3.7
99,2017,4,10,2.0,-1.0,6.0
100,2017,4,11,0.7,-1.0,4.3
101,2017,4,12,1.1,-1.0,1.8
102,2017,4,13,0.3,0.0,1.2
103,2017,4,14,-1.0,-1.0,-0.5
104,2017,4,15,-1.0,-1.0,-1.4
105,2017,4,16,-1.0,-1.0,-1.7
106,2017,4,17,-1.0,-1.0,0.6
107,2017,4,18,-1.0,-1.0,0.3
108,2017,4,19,-1.0,-1.0,1.2
109,2017,4,20,5.1,-1.0,2.5
110,2017,4,21,-1.0,-1.0,5.7
111,2017,4,22,2.1,-1.0,3.1
112,2017,4,23,1.6,-1.0,2.9
113,2017,4,24,2.5,-1.0,3.6
114,2017,4,25,4.9,0.0,2.8
115,2017,4,26,0.3,-1.0,3.2
116,2017,4,27,-1.0,-1.0,4.4
117,2017,4,28,-1.0,-1.0,4.1
118,2017,4,29,9.9,-1.0,2.3
119,2017,4,30,0.4,2.0,2.2
